action_id,action_group_id,action,type1,subtype,ft,points,type2,subtype,ft,points,type3,subtype,ft,points,isDefault,FLAG
27,13,<player1> blocks de<player2>s's jumper,block,,-1,-1,shot,missed,-1,2,,,-1,-1,0,
28,13,<player1> blocks   <player2>'s jumper,block,,-1,-1,shot,missed,-1,2,,,-1,-1,0,
29,13,<player1> blocks <player2> 's  shot,block,,-1,-1,shot,missed,-1,2,,,-1,-1,0,
30,13,<player1> blocks <player2> 's two point shot,block,,-1,-1,shot,missed,-1,2,,,-1,-1,0,
31,13,<player1> blocks   <player2>'s jumper,block,,-1,-1,shot,missed,-1,2,,,-1,-1,0,
32,13,<player1> blocks <player2> 's  shot,block,,-1,-1,shot,missed,-1,2,,,-1,-1,0,
33,33,<player1> blocks <player2>'s three point jumper,block,,-1,-1,shot,missed,-1,3,,,-1,-1,1,
34,33,<player1> blocks <player2>'s three pointer,block,,-1,-1,shot,missed,-1,3,,,-1,-1,0,
35,35,<player1> blocks <player2>'s driving dunk,block,,-1,-1,shot,missed,0,2,,,-1,-1,1,
36,35,<player1> blocks <player2>'s dunk,block,,-1,-1,shot,missed,0,2,,,-1,-1,0,
37,35,<player1> blocks <player2>'s slam dunk,block,,-1,-1,shot,missed,0,2,,,-1,-1,0,
38,35,<player1>  blocks <player2>'s dunk,block,,-1,-1,shot,missed,0,2,,,-1,-1,0,
39,35,<player1>  blocks <player2>'s dunk,block,,-1,-1,shot,missed,0,2,,,-1,-1,0,
40,40,<player1>  blocks <player2> 's 1-foot  shot,block,,-1,-1,shot,missed,1,2,,,-1,-1,1,
41,40,<player1>  blocks <player2>'s  layup,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
42,40,<player1>  blocks <player2>'s layup,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
43,40,<player1> blocks <player2>'  layup,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
44,40,<player1> blocks <player2>  's 1-foot  layup,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
45,40,<player1> blocks <player2>' 1-foot  shot,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
46,40,<player1> blocks <player2> 's  layup,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
47,40,<player1> blocks <player2> 's 1- foot  layup,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
48,40,<player1> blocks <player2> 's 1-foot  jumper,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
49,40,<player1> blocks <player2> 's 1-foot  layup,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
50,40,<player1> blocks <player2> 's 1-foot  shot,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
51,40,<player1> blocks <player2> 's layup,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
52,40,<player1> blocks <player2>'s  layup,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
53,40,"<player1> blocks <player2>'s  layup, <player2> offensive rebound",block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
54,40,<player1> blocks <player2>'s 1-foot  layup,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
55,40,<player1> blocks <player2>'s 1-foot  shot,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
56,40,<player1> blocks <player2>'s 1-foot hook shot,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
57,40,<player1> blocks <player2>'s 1-foot jumper,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
58,40,<player1> blocks <player2>'s 1-foot running jumper,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
59,40,<player1> blocks <player2>'s 1-foot two point shot,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
60,40,<player1> blocks <player2>'s driving layup,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
61,40,<player1> blocks <player2>'s layup,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
62,40,<player1> blocks de<player2>s's layup,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
63,40,<player1>  blocks <player2> 's 1-foot  layup,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
64,40,<player1> blocks   <player2>'s layup,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
65,40,<player1> blocks <player2>  's 1-foot  shot,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
66,40,<player1> blocks <player2> iv's layup,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
67,40,<player1> blocks <player2> 's 1- foot  shot,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
68,40,<player1> blocks <player2> 's 1-foot  hook shot,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
69,40,de<player1>s blocks <player2>'s layup,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,1
70,40,<player1>  blocks <player2> 's 1-foot  layup,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
71,40,<player1> blocks   <player2>'s layup,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
72,40,<player1> blocks <player2>  's 1-foot  shot,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
73,40,<player1> blocks <player2> 's 1- foot  shot,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
74,40,<player1> blocks <player2> 's 1-foot  hook shot,block,,-1,-1,shot,missed,1,2,,,-1,-1,0,
75,75,<player1>  blocks <player2> 's 2-foot  layup,block,,-1,-1,shot,missed,2,2,,,-1,-1,1,
76,75,<player1>  blocks <player2> 's 2-foot  shot,block,,-1,-1,shot,missed,2,2,,,-1,-1,0,
77,75,<player1> blocks <player2>  's 2-foot  layup,block,,-1,-1,shot,missed,2,2,,,-1,-1,0,
78,75,<player1> blocks <player2> 's 2- foot  layup,block,,-1,-1,shot,missed,2,2,,,-1,-1,0,
79,75,<player1> blocks <player2> 's 2- foot  shot,block,,-1,-1,shot,missed,2,2,,,-1,-1,0,
80,75,<player1> blocks <player2> 's 2-foot,block,,-1,-1,shot,missed,2,2,,,-1,-1,0,
81,75,<player1> blocks <player2> 's 2-foot  2-pt jumper,block,,-1,-1,shot,missed,2,2,,,-1,-1,0,
82,75,<player1> blocks <player2> 's 2-foot  hook shot,block,,-1,-1,shot,missed,2,2,,,-1,-1,0,
83,75,<player1> blocks <player2> 's 2-foot  jumper,block,,-1,-1,shot,missed,2,2,,,-1,-1,0,
84,75,<player1> blocks <player2> 's 2-foot  layup,block,,-1,-1,shot,missed,2,2,,,-1,-1,0,
85,75,<player1> blocks <player2> 's 2-foot  shot,block,,-1,-1,shot,missed,2,2,,,-1,-1,0,
86,75,<player1> blocks <player2> 's 2-foot  two point shot,block,,-1,-1,shot,missed,2,2,,,-1,-1,0,
87,75,<player1> blocks <player2>'s  2-pt jumper,block,,-1,-1,shot,missed,2,2,,,-1,-1,0,
88,75,<player1> blocks <player2>'s 2-foot  jumper,block,,-1,-1,shot,missed,2,2,,,-1,-1,0,
89,75,<player1> blocks <player2>'s 2-foot  layup,block,,-1,-1,shot,missed,2,2,,,-1,-1,0,
90,75,<player1> blocks <player2>'s 2-foot hook shot,block,,-1,-1,shot,missed,2,2,,,-1,-1,0,
91,75,<player1> blocks <player2>'s 2-foot jumper,block,,-1,-1,shot,missed,2,2,,,-1,-1,0,
92,75,<player1> blocks <player2>'s 2-foot running jumper,block,,-1,-1,shot,missed,2,2,,,-1,-1,0,
93,75,<player1> blocks <player2>'s 2-foot two point shot,block,,-1,-1,shot,missed,2,2,,,-1,-1,0,
94,75,<player1> blocks <player2>'s 2-foot  shot,block,,-1,-1,shot,missed,2,2,,,-1,-1,0,
95,75,<player1> blocks <player2>'s 2-foot  shot,block,,-1,-1,shot,missed,2,2,,,-1,-1,0,
96,96,<player1>  blocks <player2> 's 3-foot  jumper,block,,-1,-1,shot,missed,3,2,,,-1,-1,1,
97,96,<player1>  blocks <player2> 's 3-foot  layup,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
98,96,<player1>  blocks <player2> 's 3-foot  shot,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
99,96,<player1> blocks <player2>  's 3-foot  jumper,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
100,96,<player1> blocks <player2>' 3-foot  layup,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
101,96,<player1> blocks <player2> 's 3- foot  jumper,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
102,96,<player1> blocks <player2> 's 3- foot  layup,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
103,96,<player1> blocks <player2> 's 3- foot  shot,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
104,96,<player1> blocks <player2> 's 3-foot,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
105,96,<player1> blocks <player2> 's 3-foot  2-pt jumper,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
106,96,<player1> blocks <player2> 's 3-foot  hook shot,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
107,96,<player1> blocks <player2> 's 3-foot  jumper,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
108,96,<player1> blocks <player2> 's 3-foot  layup,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
109,96,<player1> blocks <player2> 's 3-foot  shot,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
110,96,<player1> blocks <player2> 's 3-foot  two point shot,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
111,96,<player1> blocks <player2>'s 3-foot  jumper,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
112,96,<player1> blocks <player2>'s 3-foot  layup,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
113,96,<player1> blocks <player2>'s 3-foot hook shot,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
114,96,<player1> blocks <player2>'s 3-foot jumper,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
115,96,<player1> blocks <player2>'s 3-foot running jumper,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
116,96,<player1> blocks <player2>'s 3-foot two point shot,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
117,96,<player1> blocks <player2>  's 3-foot  layup,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
118,96,<player1> blocks <player2>'s 3-foot  shot,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
119,96,<player1> blocks <player2>  's 3-foot  layup,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
120,96,<player1> blocks <player2>'s 3-foot  shot,block,,-1,-1,shot,missed,3,2,,,-1,-1,0,
121,121,<player1>  blocks <player2> 's 4-foot  2-pt jumper,block,,-1,-1,shot,missed,4,2,,,-1,-1,1,
122,121,<player1>  blocks <player2> 's 4-foot  jumper,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
123,121,<player1>  blocks <player2> 's 4-foot  shot,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
124,121,<player1> blocks <player2>' 4-foot  jumper,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
125,121,<player1> blocks <player2> 's 4- foot  jumper,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
126,121,<player1> blocks <player2> 's 4- foot  layup,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
127,121,<player1> blocks <player2> 's 4- foot  two point shot,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
128,121,<player1> blocks <player2> 's 4-foot  2-pt jumper,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
129,121,<player1> blocks <player2> 's 4-foot  hook shot,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
130,121,<player1> blocks <player2> 's 4-foot  jumper,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
131,121,<player1> blocks <player2> 's 4-foot  layup,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
132,121,<player1> blocks <player2> 's 4-foot  shot,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
133,121,<player1> blocks <player2> 's 4-foot  two point shot,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
134,121,<player1> blocks <player2> 's 4-foot jumper,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
135,121,<player1> blocks <player2>'s 4-foot  jumper,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
136,121,<player1> blocks <player2>'s 4-foot  shot,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
137,121,<player1> blocks <player2>'s 4-foot  two point shot,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
138,121,<player1> blocks <player2>'s 4-foot hook shot,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
139,121,<player1> blocks <player2>'s 4-foot jumper,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
140,121,<player1> blocks <player2>'s 4-foot running jumper,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
141,121,<player1> blocks <player2>'s 4-foot two point shot,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
142,121,<player1> blocks de<player2>s's 4-foot jumper,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
143,121,<player1> blocks <player2>  's 4-foot  jumper,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
144,121,<player1> blocks <player2>  's 4-foot  layup,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
145,121,<player1> blocks <player2> 's 4-foot,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
146,121,<player1> blocks <player2>'s 4-foot  layup,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
147,121,de<player1>s blocks <player2>'s 4-foot jumper,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,1
148,121,<player1> blocks <player2>  's 4-foot  jumper,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
149,121,<player1> blocks <player2>  's 4-foot  layup,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
150,121,<player1> blocks <player2>'s 4-foot  layup,block,,-1,-1,shot,missed,4,2,,,-1,-1,0,
151,151,<player1>  blocks <player2> 's 5-foot  jumper,block,,-1,-1,shot,missed,5,2,,,-1,-1,1,
152,151,<player1>  blocks <player2> 's 5-foot  shot,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
153,151,<player1>  blocks <player2> 's 5-foot  two point shot,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
154,151,<player1> blocks <player2>  's 5-foot  jumper,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
155,151,<player1> blocks <player2> 's 5-foot,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
156,151,<player1> blocks <player2> 's 5-foot  2-pt jumper,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
157,151,<player1> blocks <player2> 's 5-foot  hook shot,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
158,151,<player1> blocks <player2> 's 5-foot  jumper,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
159,151,<player1> blocks <player2> 's 5-foot  layup,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
160,151,<player1> blocks <player2> 's 5-foot  shot,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
161,151,<player1> blocks <player2> 's 5-foot  two point shot,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
162,151,<player1> blocks <player2>'s 5-foot  hook shot,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
163,151,<player1> blocks <player2>'s 5-foot  jumper,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
164,151,<player1> blocks <player2>'s 5-foot hook shot,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
165,151,<player1> blocks <player2>'s 5-foot jumper,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
166,151,<player1> blocks <player2>'s 5-foot running jumper,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
167,151,<player1> blocks <player2>'s 5-foot two point shot,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
168,151,<player1> blocks de<player2>s's 5-foot jumper,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
169,151,nen?¦  blocks <player1> 's 5-foot  hook shot,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,PLAYER
170,151,<player1>  blocks <player2> 's 5-foot  2-pt jumper,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
171,151,<player1>  blocks <player2>'s 5-foot hook shot,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
172,151,<player1> blocks <player2>  's 5-foot  layup,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
173,151,<player1> blocks <player2> 's 5- foot  jumper,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
174,151,<player1> blocks <player2> 's 5-foot running jumper,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
175,151,<player1> blocks <player2>'s 5-foot  shot,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
176,151,de<player1>s blocks <player2>'s 5-foot jumper,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,1
177,151,nenˆ  blocks <player1> 's 5-foot  hook shot,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,1
178,151,<player1>  blocks <player2> 's 5-foot  2-pt jumper,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
179,151,<player1>  blocks <player2>'s 5-foot hook shot,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
180,151,<player1> blocks <player2>  's 5-foot  layup,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
181,151,<player1> blocks <player2> 's 5- foot  jumper,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
182,151,<player1> blocks <player2>'s 5-foot  shot,block,,-1,-1,shot,missed,5,2,,,-1,-1,0,
183,183,<player1>  blocks <player2> 's 6-foot  jumper,block,,-1,-1,shot,missed,6,2,,,-1,-1,1,
184,183,<player1>  blocks <player2> 's 6-foot  shot,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
185,183,<player1>  blocks <player2> 's 6-foot  two point shot,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
186,183,<player1> blocks <player2>' 6-foot  jumper,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
187,183,<player1> blocks <player2> 's 6- foot  2-pt jumper,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
188,183,<player1> blocks <player2> 's 6- foot  jumper,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
189,183,<player1> blocks <player2> 's 6- foot  two point shot,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
190,183,<player1> blocks <player2> 's 6-foot  2-pt jumper,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
191,183,<player1> blocks <player2> 's 6-foot  hook shot,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
192,183,<player1> blocks <player2> 's 6-foot  jumper,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
193,183,<player1> blocks <player2> 's 6-foot  shot,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
194,183,<player1> blocks <player2> 's 6-foot  two point shot,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
195,183,<player1> blocks <player2>'s 6-foot  jumper,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
196,183,<player1> blocks <player2>'s 6-foot  shot,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
197,183,<player1> blocks <player2>'s 6-foot hook shot,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
198,183,<player1> blocks <player2>'s 6-foot jumper,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
199,183,<player1> blocks <player2>'s 6-foot running jumper,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
200,183,<player1> blocks <player2>'s 6-foot two point shot,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
201,183,<player1> blocks <player2>  's 6-foot  2-pt jumper,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
202,183,<player1> blocks <player2>  's 6-foot  hook shot,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
203,183,<player1> blocks <player2>  's 6-foot  jumper,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
204,183,<player1> blocks <player2>  's 6-foot  shot,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
205,183,<player1> blocks <player2> 's 6-foot jumper,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
206,183,<player1> blocks <player2>  's 6-foot  2-pt jumper,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
207,183,<player1> blocks <player2>  's 6-foot  hook shot,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
208,183,<player1> blocks <player2>  's 6-foot  jumper,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
209,183,<player1> blocks <player2>  's 6-foot  shot,block,,-1,-1,shot,missed,6,2,,,-1,-1,0,
210,210,<player1>  blocks <player2> 's 7-foot  jumper,block,,-1,-1,shot,missed,7,2,,,-1,-1,1,
211,210,<player1> blocks <player2>' 7-foot  jumper,block,,-1,-1,shot,missed,7,2,,,-1,-1,0,
212,210,<player1> blocks <player2> 's 7- foot  jumper,block,,-1,-1,shot,missed,7,2,,,-1,-1,0,
213,210,<player1> blocks <player2> 's 7-foot  2-pt jumper,block,,-1,-1,shot,missed,7,2,,,-1,-1,0,
214,210,<player1> blocks <player2> 's 7-foot  hook shot,block,,-1,-1,shot,missed,7,2,,,-1,-1,0,
215,210,<player1> blocks <player2> 's 7-foot  jumper,block,,-1,-1,shot,missed,7,2,,,-1,-1,0,
216,210,<player1> blocks <player2> 's 7-foot  shot,block,,-1,-1,shot,missed,7,2,,,-1,-1,0,
217,210,<player1> blocks <player2> 's 7-foot  two point shot,block,,-1,-1,shot,missed,7,2,,,-1,-1,0,
218,210,<player1> blocks <player2>'s 7-foot  2-pt jumper,block,,-1,-1,shot,missed,7,2,,,-1,-1,0,
219,210,<player1> blocks <player2>'s 7-foot  jumper,block,,-1,-1,shot,missed,7,2,,,-1,-1,0,
220,210,<player1> blocks <player2>'s 7-foot hook shot,block,,-1,-1,shot,missed,7,2,,,-1,-1,0,
221,210,<player1> blocks <player2>'s 7-foot jumper,block,,-1,-1,shot,missed,7,2,,,-1,-1,0,
222,210,<player1> blocks <player2>'s 7-foot running jumper,block,,-1,-1,shot,missed,7,2,,,-1,-1,0,
223,210,<player1> blocks <player2>'s 7-foot two point shot,block,,-1,-1,shot,missed,7,2,,,-1,-1,0,
224,210,<player1> blocks de<player2>s's 7-foot jumper,block,,-1,-1,shot,missed,7,2,,,-1,-1,0,
225,210,<player1> blocks <player2>  's 7-foot  hook shot,block,,-1,-1,shot,missed,7,2,,,-1,-1,0,
226,210,<player1> blocks <player2> 's 7- foot  shot,block,,-1,-1,shot,missed,7,2,,,-1,-1,0,
227,210,<player1> blocks <player2> 's 7-foot,block,,-1,-1,shot,missed,7,2,,,-1,-1,0,
228,210,<player1> blocks <player2>  's 7-foot  hook shot,block,,-1,-1,shot,missed,7,2,,,-1,-1,0,
229,210,<player1> blocks <player2> 's 7- foot  shot,block,,-1,-1,shot,missed,7,2,,,-1,-1,0,
230,230,<player1>  blocks <player2> 's 8-foot  jumper,block,,-1,-1,shot,missed,8,2,,,-1,-1,1,
231,230,<player1> blocks <player2>  's 8-foot  jumper,block,,-1,-1,shot,missed,8,2,,,-1,-1,0,
232,230,<player1> blocks <player2> 's 8- foot  jumper,block,,-1,-1,shot,missed,8,2,,,-1,-1,0,
233,230,<player1> blocks <player2> 's 8-foot  2-pt jumper,block,,-1,-1,shot,missed,8,2,,,-1,-1,0,
234,230,<player1> blocks <player2> 's 8-foot  hook shot,block,,-1,-1,shot,missed,8,2,,,-1,-1,0,
235,230,<player1> blocks <player2> 's 8-foot  jumper,block,,-1,-1,shot,missed,8,2,,,-1,-1,0,
236,230,<player1> blocks <player2> 's 8-foot  shot,block,,-1,-1,shot,missed,8,2,,,-1,-1,0,
237,230,<player1> blocks <player2> 's 8-foot  two point shot,block,,-1,-1,shot,missed,8,2,,,-1,-1,0,
238,230,<player1> blocks <player2>'s 8-foot  jumper,block,,-1,-1,shot,missed,8,2,,,-1,-1,0,
239,230,<player1> blocks <player2>'s 8-foot 2-pt jumper,block,,-1,-1,shot,missed,8,2,,,-1,-1,0,
240,230,<player1> blocks <player2>'s 8-foot hook shot,block,,-1,-1,shot,missed,8,2,,,-1,-1,0,
241,230,<player1> blocks <player2>'s 8-foot jumper,block,,-1,-1,shot,missed,8,2,,,-1,-1,0,
242,230,<player1> blocks <player2>'s 8-foot running jumper,block,,-1,-1,shot,missed,8,2,,,-1,-1,0,
243,230,<player1> blocks <player2>'s 8-foot two point shot,block,,-1,-1,shot,missed,8,2,,,-1,-1,0,
244,244,<player1>  blocks <player2> 's 9-foot  shot,block,,-1,-1,shot,missed,9,2,,,-1,-1,1,
245,244,<player1> blocks <player2> 's 9- foot  jumper,block,,-1,-1,shot,missed,9,2,,,-1,-1,0,
246,244,<player1> blocks <player2> 's 9-foot,block,,-1,-1,shot,missed,9,2,,,-1,-1,0,
247,244,<player1> blocks <player2> 's 9-foot  2-pt jumper,block,,-1,-1,shot,missed,9,2,,,-1,-1,0,
